record_id,date,content_type,pillar,audience_stage,impressions,members_reached,reactions,comments,reposts,saves,sends,link_visits,profile_viewers_from_post,followers_gained,messages_sent,replies,qualified_conversations,owned_outcomes,notes
R-001,2026-07-01,text,Decision clarity,Discover,4200,3100,82,14,7,29,11,18,64,15,0,0,0,0,"Framework post"
R-002,2026-07-03,document,Workflow mapping,Evaluate,3800,2700,71,19,10,54,21,24,88,20,0,0,0,0,"Six-page checklist"
R-003,2026-07-05,text,Human approval,Engage,2500,1900,44,26,8,31,14,9,57,11,0,0,0,0,"Question-led post"
R-004,2026-07-08,article,Operational evidence,Evaluate,1600,1200,25,8,4,17,5,46,39,7,0,0,0,0,"Long-form article"
R-005,2026-07-10,text,Process example,Converse,2900,2150,51,17,6,22,9,13,73,14,0,0,0,0,"Synthetic process story"
R-006,2026-07-12,document,Pilot design,Decide,2100,1550,32,11,5,38,12,34,61,12,0,0,0,0,"Pilot decision card"
R-007,2026-07-15,text,Decision clarity,Discover,5100,3600,95,18,9,27,10,16,70,18,0,0,0,0,"Broad discovery post"
R-008,2026-07-18,text,Human approval,Engage,1750,1320,29,21,5,24,13,7,55,9,0,0,0,0,"Focused approval question"
R-009,2026-07-21,outreach,Process relevance,Converse,0,0,0,0,0,0,0,0,0,0,18,6,3,1,"Synthetic human-sent batch"
R-010,2026-07-24,outreach,Process relevance,Converse,0,0,0,0,0,0,0,0,0,0,12,2,1,0,"Synthetic human-sent batch"
R-010,2026-07-24,outreach,Process relevance,Converse,0,0,0,0,0,0,0,0,0,0,12,2,1,0,"Injected duplicate for quality check"
R-011,2026-07-27,document,Workflow mapping,Evaluate,1900,2050,36,9,4,30,10,19,49,8,0,0,0,0,"Injected impossible reach relationship"
R-012,2026-07-30,text,Operational evidence,Evaluate,,1400,31,7,3,18,5,11,42,6,0,0,0,0,"Injected missing denominator"

